company,frequency,recency,monetary,low_hp,medium_hp,high_hp,old_,recent_,low_mileage,medium_mileage,high_mileage,less_5k,_5k_10k_,_10k_,profit_per_car
"AUTOHANDEL-NASRALLAH, Inh. Nasser M. Nasrallah",1,8,2,1,0,0,1,0,0,1,0,1,0,0,474
"Guist Autohandel, Inh. Andreas Guist",1,10,5,0,0,1,0,1,0,1,0,0,0,1,1287
HUGO DANIEL MIRANDA DA SILVA UNIPESSOAL LDA,1,7,3,0,2,0,2,0,0,1,1,2,0,0,542.5
EURL G V AUTO,2,7,5,3,0,0,1,2,2,1,0,1,0,2,1022.666667
NV Garage Jacobs,3,5,9,3,3,0,0,6,6,0,0,0,0,6,1011.666667
Quality Partners s.r.o.,3,4,2,6,1,0,7,0,0,2,5,7,0,0,200
CC-RENT Korlátolt Felelősségű Társaság,1,10,4,1,0,0,0,1,0,0,1,0,0,1,358
TATYKO Company s.r.o.,1,7,2,1,0,0,1,0,0,1,0,1,0,0,53
A-Z CARS,1,8,3,1,0,0,0,1,1,0,0,0,1,0,803
Elite Cars GmbH,1,2,4,1,1,0,2,0,0,0,2,1,1,0,243
AUTO MOTOR FLAT,3,10,10,0,0,5,2,3,4,1,0,0,0,5,2284.6
PLUS AUTO SHOP S.R.L.,2,8,3,3,0,0,3,0,1,2,0,3,0,0,522.3333333
Platonyx GmbH,1,5,2,1,0,0,1,0,0,1,0,1,0,0,-405
BRUNO VANDORPE,1,10,2,1,0,0,1,0,0,1,0,1,0,0,654
"NKuhn Automobile, Inh. Sacira Neslanovic-Kuhn",2,1,6,2,2,0,2,2,2,1,1,2,0,2,724
OMK AUTO,3,2,3,5,0,0,5,0,1,4,0,5,0,0,294.8
"M. Heidrich KFZ-Handlung, Inh. Matthias Heidrich",1,10,4,1,1,0,2,0,0,2,0,1,1,0,-701.5
Luxe Autos 28,1,10,2,1,0,0,1,0,0,1,0,1,0,0,614
CF Biler ApS,1,10,5,0,1,0,0,1,0,1,0,0,0,1,1451
Igiełka Michał Smykowski,1,10,1,1,0,0,1,0,0,0,1,1,0,0,232
ROMFOUR AUTO RULATE S.R.L.,1,1,4,2,0,0,1,1,0,0,2,0,2,0,642.5
AUTOMOBILI DI TUNDO MASSIMO,5,3,10,11,5,0,2,14,14,2,0,0,2,14,1104.375
BORDÁS-MZ Kft.,2,10,2,3,0,0,3,0,0,3,0,3,0,0,519.3333333
BELLA 2005 EOOD,3,8,5,4,2,0,6,0,0,1,5,6,0,0,531.8333333
ADYRAD S.R.L.,1,9,4,1,1,0,1,1,1,0,1,1,0,1,451
"Löwen Automobile, Inh. Yakub Arslan",1,6,2,1,0,0,1,0,0,1,0,1,0,0,692
AUTOCAR-TICHÝ s.r.o.,2,9,4,3,0,0,3,0,0,3,0,1,2,0,844
"SF-Führer, Inh. Stefan Führer",2,7,3,0,4,0,4,0,0,0,4,4,0,0,385.5
V.O.F. MAASKANT AUTO'S,3,5,9,1,2,4,7,0,5,2,0,0,1,6,1228.857143
"Auto-Discount, Inh. Kai Hennicker",4,3,9,10,0,0,0,10,10,0,0,0,0,10,739.9
Autoparadise,1,9,2,2,0,0,2,0,1,1,0,2,0,0,469.5
F.H.U DA-CAR DARIUSZ ZIMOŃ,3,7,3,7,2,0,9,0,0,5,4,9,0,0,86.22222222
CAMMAR MARCIN CZUBAK,1,4,3,1,0,0,1,0,0,0,1,0,1,0,674
DEKI AUTOMOBILI d.o.o.,2,5,5,3,0,0,0,3,1,2,0,0,1,2,643.6666667
Narin´s Automobile e.K.,3,5,9,5,2,1,1,7,5,3,0,0,1,7,281.125
Auto Pöchtrager GmbH,1,10,5,1,0,0,0,1,1,0,0,0,0,1,1894
M - CARS Kamil Walkowicz,2,8,3,3,1,0,4,0,0,1,3,4,0,0,269.5
XIONIS LAMPROS PANAGIS,1,9,4,1,0,0,0,1,0,1,0,0,0,1,415
DUMITRU GH E DANIEL PERSOANĂ FIZICĂ AUTORIZATĂ,1,10,3,1,1,0,2,0,0,1,1,1,1,0,553
HS CLASSIC CARS Korlátolt Felelősségű Társaság,4,1,6,4,6,1,11,0,0,4,7,7,4,0,553.1818182
Sonnleitner Germany GmbH,1,10,4,2,0,0,0,2,2,0,0,0,2,0,344.5
MIHAI AUTO TRANS SRL,1,5,6,0,1,0,0,1,0,1,0,0,0,1,1188
Auto Tiggeloven,1,10,4,0,1,0,0,1,1,0,0,0,0,1,625
Beresa GmbH & Co. KG - Münster,1,10,6,0,1,0,0,1,1,0,0,0,0,1,1348
SFA,5,8,5,16,0,0,16,0,7,9,0,16,0,0,448.4375
SARL PFMOTORS,7,1,12,4,14,22,1,39,36,4,0,0,0,40,1341.925
AUTOMASTER S.R.L.,2,2,7,3,1,0,0,4,4,0,0,0,0,4,1378.75
"AV Autohandel, Inh. Antonio Vukelja",1,7,4,2,0,0,0,2,0,2,0,0,1,1,69.5
Delta Experience Kft.,3,7,5,9,0,0,9,0,3,5,1,9,0,0,745.3333333
Radek Michálek,3,2,6,4,1,0,3,2,0,5,0,0,4,1,736.2
Autoservice Kayersdijk,2,6,4,4,0,0,3,1,0,2,2,3,1,0,1282.25
"Autocar Moučka, Oldřich Moučka",6,1,9,17,3,0,15,5,6,11,3,10,3,7,669.75
MCAKX,1,8,2,1,0,0,1,0,0,0,1,1,0,0,390
"Car47, Inh. Firat Atay",1,7,2,1,1,0,2,0,0,2,0,2,0,0,120
AVTO MIKI D.O.O.,1,6,5,2,0,0,0,2,1,1,0,0,1,1,709
C.A.B CARS,6,1,7,23,0,0,23,0,12,11,0,22,1,0,515.2608696
"Paul Automobile, Inh. Paul Marczuk",8,5,8,45,1,0,46,0,14,30,2,45,1,0,1.869565217
Autohaus-Gramling Sportwagen GmbH (Graf Hardenberg Gruppe),1,10,9,0,0,1,0,1,1,0,0,0,0,1,2729
Tomi-Cars Tomasz Malarz,2,7,2,4,0,0,4,0,1,2,1,4,0,0,101.5
Kv cars,1,9,2,1,0,0,1,0,0,1,0,1,0,0,576
GRADNJA KUS D.O.O.,1,9,5,0,1,0,0,1,1,0,0,0,0,1,-1817
AUTO RULATE BUHUSI,7,1,9,23,10,2,34,1,1,5,29,25,7,3,466.4857143
Sunset4you Korlátolt Felelősségű Társaság,3,6,6,4,1,0,4,1,0,5,0,1,3,1,260.2
ZAKA ÁKOS,4,9,6,11,0,0,11,0,3,8,0,9,2,0,521.0909091
LUXURY AUTOS MONACO SL,1,10,4,0,1,0,1,0,0,1,0,0,0,1,-783
Boussu Motor Sprl,1,8,3,2,0,0,0,2,1,1,0,1,1,0,415.5
DIMINAS DIMOS DIMITRIOS,2,7,4,4,0,0,4,0,1,3,0,4,0,0,-61.5
GROUPE MONT-BLANC - MONT BLANC AUTOMOBILES - EPAGNY - MITSUBISHI SUZUKI,1,5,7,0,1,1,0,2,2,0,0,0,0,2,1280
ZETACAR S.R.L.,1,4,4,0,1,0,0,1,1,0,0,0,0,1,1161
Autodienst Markranstädt GmbH,3,9,7,5,0,0,2,3,5,0,0,1,1,3,479.4
Autohaus Varnholt Gmbh & Co. Kg,2,7,6,2,1,0,0,3,3,0,0,0,0,3,940
LE-Performance GmbH,1,9,4,0,0,1,1,0,1,0,0,0,0,1,468
Szomszéd 2013 Kft,2,8,4,2,2,0,4,0,0,1,3,4,0,0,368
NORDSTERNE  GmbH & Co. KG,6,4,11,7,15,0,3,19,20,2,0,0,0,22,653.7272727
VOLVER LOGISTIC ZDZISŁAWA ZĘBALA,3,3,5,8,0,0,7,1,0,6,2,7,1,0,419.5
Autofier,2,7,5,2,1,1,4,0,2,2,0,2,2,0,816.25
Autohaus Martens GmbH & Co. KG,1,9,5,1,0,0,0,1,1,0,0,0,0,1,1940
"K-Automobile, Inh. René Kordel",1,9,3,2,0,0,2,0,0,2,0,1,1,0,842.5
ARIA LINE S.R.L.,1,10,2,1,0,0,1,0,0,0,1,1,0,0,272
"Schneider Autohandel, Inh. Alexander Schneider",2,4,4,2,1,0,2,1,0,2,1,1,2,0,447.3333333
CLASS'AUTO,2,8,6,1,2,0,1,2,3,0,0,0,0,3,931
"AGA Automobile, Inh. Hamood Bashar Faisal",1,8,4,1,0,0,1,0,0,1,0,0,0,1,1312
AMF - PETROLIMA LDA,3,8,9,6,0,0,0,6,6,0,0,0,0,6,725.1666667
MAGGOURAS XENOFON GEORGIOS,1,10,3,2,0,0,2,0,0,2,0,2,0,0,387
Boris Žák MB-CARS,2,7,6,2,1,0,3,0,0,3,0,0,0,3,1136.666667
Emil Frey Auto Centar d.o.o.,1,9,5,1,0,0,0,1,1,0,0,0,0,1,1613
SELECAR S.R.L.,1,7,3,2,0,0,2,0,0,2,0,2,0,0,573.5
AUTO SELECT d. o. o.,7,7,9,38,0,0,35,3,6,32,0,33,4,1,362.1052632
Rolidas,6,3,6,26,0,0,26,0,4,14,8,26,0,0,434.4230769
Vandeginste NV,1,9,5,0,1,0,0,1,1,0,0,0,0,1,1493
E.C.K AUTO,1,8,2,1,0,0,1,0,0,1,0,1,0,0,457
REVI IMPORT Y EXPORT CARS SL,1,9,3,1,0,0,0,1,0,1,0,0,1,0,960
Occasions des sacres,4,7,5,13,0,0,13,0,13,0,0,13,0,0,332.6153846
Tomáš Vaněčka,1,10,4,1,1,0,2,0,0,2,0,1,1,0,579.5
WAGENWAG SIA,1,9,2,2,0,0,2,0,0,0,2,2,0,0,288
V.O.F. Autobedrijf Liekendiek,4,7,9,14,0,0,13,1,2,12,0,2,10,2,563.2142857
"Roshandel SJR Management , Inh.: Samir Roshandel",3,7,4,6,1,0,7,0,2,5,0,7,0,0,279
GGT-AUTO - EOOD,3,6,4,5,0,0,5,0,0,3,2,5,0,0,441
CRISAUTO - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,1,10,2,1,0,0,1,0,1,0,0,1,0,0,512
GARAGE MARTINEAU,4,1,10,8,5,0,0,13,13,0,0,0,0,13,1445.846154
SMIRIS ATHANASIOS HRISTOS,1,3,3,1,0,0,0,1,0,1,0,0,1,0,941
PACO AUTOMOTIVE S.R.L.,1,10,4,0,1,0,1,0,0,1,0,0,0,1,90
FOURRINGCARS HUNGARY KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1,3,3,0,1,0,1,0,0,0,1,0,1,0,1006
"Mamusha-Automobile, Inh. Armend Mamusha",3,7,6,6,0,1,6,1,0,3,4,1,6,0,314.5714286
B-DEMS AUTO OOD,1,8,3,0,1,0,1,0,0,1,0,0,1,0,-440
"""MG"" - PHU MARIUSZ GNOZA",6,6,5,21,2,0,23,0,1,12,10,21,2,0,274.3478261
KRITÁN KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,5,6,7,18,0,0,18,0,3,15,0,12,6,0,483.6666667
PUGLISI ANTONIO,1,9,4,0,1,0,1,0,1,0,0,0,0,1,0
Norbert Driessen Woerden B.V.,1,8,7,0,0,1,0,1,1,0,0,0,0,1,4785
WH Autozentrum Witten/Hattingen GmbH,1,10,6,0,0,1,0,1,1,0,0,0,0,1,-6206
"Kunis Automobile, Inh. Michael Kunis",7,1,9,4,17,13,34,0,0,17,17,13,17,4,-16.70588235
GERT MICHAŁ GRELA,3,3,6,6,0,0,4,2,1,4,1,1,4,1,914.5
AUTO PRO DI PROVENZI LUCA,1,7,4,2,0,0,0,2,2,0,0,0,1,1,961
S-TEAM,4,6,9,12,1,0,11,2,8,5,0,1,6,6,411.2307692
"Firma Weiland, Inh. Alexander Weiland",4,7,9,5,3,4,6,6,7,5,0,0,6,6,815.5
Speed Car Team Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1,10,2,1,0,0,1,0,0,0,1,1,0,0,1370
GL AUTOS,3,1,6,5,0,0,5,0,0,5,0,0,5,0,849
"PLEŠKO CARS, D.O.O. BREZOVICA",2,6,6,2,1,0,0,3,1,2,0,0,1,2,469
Samir Martének,1,10,1,2,0,0,2,0,0,1,1,2,0,0,171
BEN AUTO TRADING UG,3,8,6,6,1,1,8,0,0,3,5,6,0,2,366
ROADSTER Paweł Kowal,2,6,3,3,1,0,4,0,0,4,0,4,0,0,384.5
EVIAN AUTOMOBILES SARL,1,10,2,0,1,0,1,0,0,1,0,1,0,0,389
ZICKUS TRANSPORT LTD,1,9,1,1,0,0,1,0,0,0,1,1,0,0,240
"DD Automobile Hannover, Inh. Dario Gudelj",2,8,6,3,1,0,2,2,0,4,0,0,2,2,885.75
OPTIMO AUTOHAUS S.R.L.,2,1,8,0,3,0,0,3,1,2,0,0,0,3,1113.333333
Autohaus Stradinger GmbH,1,7,3,2,0,0,2,0,2,0,0,2,0,0,867.5
AUTOJUCAR SA,1,10,4,1,0,0,0,1,1,0,0,0,0,1,420
CARS-HELP EOOD,3,3,8,5,1,1,4,3,1,2,4,0,3,4,638.2857143
"Autopark am Sulzbach, Inh. Selcuk Altintas",1,10,2,1,0,0,1,0,0,1,0,1,0,0,621
SPER DUO Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1,3,2,2,0,0,2,0,0,2,0,2,0,0,567.5
Autohaus Franz GmbH,2,9,9,3,1,0,0,4,4,0,0,0,0,4,1681.75
EDGE CONSULTING SRL,1,10,3,0,1,0,1,0,0,0,1,0,1,0,316
Admir Braho,1,8,2,1,1,0,2,0,0,0,2,2,0,0,708.5
VARVAKIS DIMITRIOS KONSTANTINOS,5,6,7,15,0,0,11,4,3,12,0,11,4,0,601.0666667
"Auto Reinbek, Inh. Aschkan Javadi",4,3,7,6,3,1,10,0,3,7,0,3,4,3,799.3
Autowerft GmbH & Co. KG,9,5,12,42,32,7,21,60,51,29,1,1,3,77,1432.049383
EXTRAÑA MALDICION SL,1,8,4,2,0,0,2,0,0,0,2,1,1,0,946
GARAGEM PROGRESSO DE ESTARREJA LDA,1,9,4,1,0,0,0,1,1,0,0,0,0,1,420
KROTOSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,1,9,2,0,1,0,1,0,0,1,0,1,0,0,240
Auto Bierschneider GmbH,3,10,9,2,1,2,1,4,5,0,0,0,1,4,1527.6
Autohaus Bock GmbH & Co. KG,2,3,4,4,0,0,3,1,0,1,3,2,2,0,458.75
"Autoinsel Köln, Inh. Ahmet Cankurt",6,1,5,21,0,0,21,0,2,19,0,21,0,0,318.3333333
DECADA COERENTE UNIPESSOAL LDA,1,10,5,0,1,0,0,1,0,1,0,0,0,1,726
DRAGOLIV AUTORULATE S.R.L.,1,10,2,0,1,0,1,0,0,0,1,1,0,0,605
GREG-AUTO GRZEGORZ BEZAK,1,10,4,1,0,0,0,1,0,1,0,0,0,1,424
BOURALEXIS GEORGIOS PETROS,1,9,3,1,0,0,1,0,0,1,0,0,1,0,653
ALVACOM s.r.o.,1,1,2,1,0,0,1,0,1,0,0,1,0,0,587
Krone d.o.o.,1,8,5,1,1,0,2,0,1,1,0,0,1,1,898
GROUPE BYMYCAR - OPEL ANNECY,2,9,8,1,1,2,0,4,4,0,0,0,0,4,1904.5
"Waller Automobile, Inh. Murat Barut",5,6,9,14,4,0,16,2,4,14,0,11,2,5,747
EUROLID SL,1,9,5,2,0,0,1,1,0,2,0,0,1,1,396
"H-B-A - Automobile, Inh. Afrim Berisha",1,7,2,0,1,0,1,0,0,0,1,1,0,0,-331
"Löwen Automobile, Inh. Moritz Leufgen",1,10,2,1,0,0,1,0,1,0,0,1,0,0,431
BOR Schneider Gruppe GmbH Hof / Die Schneider Gruppe GmbH,6,4,11,6,13,10,0,29,28,1,0,0,1,28,655.7241379
SANCHEZ Y CAMIÑAS SL,1,9,4,1,0,0,0,1,0,1,0,0,0,1,413
PANTOKRATOR CAR KERESKEDELMI ÉS SZOLGÁLTATÓ KFT.,9,5,9,74,2,0,75,1,13,63,0,69,7,0,494.5921053
Marefat Automobile Inh. Elias Marefat,3,6,6,9,0,0,9,0,3,6,0,7,2,0,536.8888889
AB Mobility BVBA,1,10,5,1,0,0,0,1,1,0,0,0,0,1,717
Heydens Motors,2,7,4,3,0,0,3,0,1,2,0,2,1,0,546
"D.K. Automobile, Inh. Dimitri Kottler AM1",2,6,6,1,2,0,0,3,0,1,2,0,0,3,533
Autobedrijf Oreel,1,7,4,2,0,0,2,0,2,0,0,1,1,0,302.5
EL COFRE DE LOS TESOROS SL,1,10,6,0,0,1,0,1,0,1,0,0,0,1,1910
Vario Sales Kft.,6,8,7,21,2,1,24,0,7,16,1,22,2,0,260.7083333
ŞERBAN AUTOMOBILE S.R.L.,3,8,6,8,0,1,9,0,0,4,5,8,0,1,468.2222222
ALLIANCE 68,3,9,9,1,4,1,0,6,6,0,0,0,0,6,1044.5
STERNPARTNER GmbH & Co. KG,1,10,7,0,1,0,0,1,1,0,0,0,0,1,1906
MARA AUTOHAUS S.R.L.,2,7,4,4,0,0,4,0,0,0,4,4,0,0,417.75
Miroslav Brázda,1,10,2,1,0,0,1,0,0,0,1,1,0,0,717
AC MANDIĆ d.o.o.,1,10,2,1,0,0,1,0,0,1,0,1,0,0,466
AUTO DG,1,9,5,1,0,0,0,1,1,0,0,0,0,1,486
AMBIENT AUTOCENTER S.R.L.,2,8,3,1,2,0,3,0,0,0,3,3,0,0,319.3333333
Auto-Zentrum 2000 GmbH,1,7,5,2,0,0,0,2,2,0,0,0,1,1,564.5
SAS FIDELIS AUTO SAS,1,10,6,0,0,1,0,1,1,0,0,0,0,1,2747
AUTO HRČEK D.O.O.,1,9,4,2,0,0,1,1,0,2,0,0,1,1,830.5
Sloor OÜ,1,10,3,0,0,1,1,0,0,0,1,0,1,0,496
CarFaNatic Kft.,4,8,7,8,2,0,8,2,0,7,3,6,1,3,462.3
GOLD CAR Kamil Kowalczyk,1,10,4,0,1,0,1,0,0,0,1,0,0,1,1339
ARX AUTOMOBILI D.O.O.,4,6,9,8,6,0,2,12,3,11,0,1,2,11,1016
BLUNK Lalendorf GmbH,1,6,4,1,0,0,0,1,1,0,0,0,0,1,487
Autobedrijf Kapelle,1,10,3,0,1,0,1,0,1,0,0,0,1,0,290
ACHETETONAUTO.COM,1,10,3,1,0,0,1,0,0,1,0,0,1,0,736
SARA TURIA RODRIGUEZ,1,8,2,0,0,1,1,0,0,0,1,1,0,0,275
"Autohaus Autoforum Staufen, Inh. Samil Secil",1,7,6,0,0,1,0,1,1,0,0,0,0,1,1965
UAB Vainita,2,8,5,1,2,1,4,0,0,0,4,0,3,1,509.5
Luxservice OÜ,1,10,4,0,2,0,2,0,0,0,2,0,2,0,604.5
Jolanta Zaranek Firma Handlowo Usługowa,7,3,6,36,0,0,36,0,1,24,11,36,0,0,357.5277778
Maga Automobiles,1,5,4,1,1,0,2,0,2,0,0,0,2,0,793.5
HD REPAR AUTO,1,10,1,1,0,0,1,0,0,1,0,1,0,0,300
AUTOSVYAT 2000 OOD,1,7,3,0,1,0,1,0,0,0,1,0,1,0,1032
KASSAMANE,1,5,3,1,0,0,1,0,0,0,1,0,1,0,1435
Radosław Kopeć Mechanika u Radzika,1,7,2,1,1,0,2,0,0,2,0,2,0,0,168
ALINE WOLF BUENO,1,10,3,0,0,1,1,0,0,1,0,0,1,0,-1350
Auto Löffler GmbH,1,10,4,1,0,0,0,1,1,0,0,0,0,1,868
SAS AUTO YERRES,9,1,11,120,13,2,135,0,66,69,0,108,23,4,512.2888889
WI - MA TRANS Korkus Mariusz,5,7,5,18,0,0,18,0,0,14,4,18,0,0,464.3888889
MODAAUTO Ltd,1,10,3,1,0,0,1,0,0,0,1,0,1,0,637
FRALDINHAS CAR LDA,2,8,5,4,0,0,3,1,2,2,0,2,1,1,309.25
"Hackert Automobile, Inh. Marc Hackert",3,1,6,6,1,0,6,1,3,4,0,2,4,1,316.8571429
Auto Vossebeld,1,10,3,1,0,0,1,0,0,1,0,0,1,0,553
NC AUTO SERVICES,2,8,6,3,0,0,2,1,0,1,2,0,1,2,871
Legend motors,1,8,2,0,1,0,1,0,0,0,1,1,0,0,180
"Exclusiv Automobile, Inh. Alfred Gies",6,4,7,24,0,0,24,0,17,7,0,24,0,0,387.8333333
"Sen-Automobile, Inh. Alaeddin Sen",6,1,9,13,6,1,17,3,4,16,0,1,8,11,851.35
MARIUSZ KACZMARCZYK MK-CAR,1,9,2,1,0,0,1,0,0,1,0,1,0,0,245
"Automobile Bulut, Inh. Güldane Bulut",1,7,4,1,1,0,2,0,0,2,0,1,1,0,554
Autohaus Gleiß E.K,1,8,3,1,0,0,0,1,1,0,0,0,1,0,592
"Hefner Autoservice, Inh. Adalbert Hefner",3,8,5,5,0,0,4,1,1,4,0,2,3,0,379
A-T-W GmbH,1,4,5,1,1,0,0,2,2,0,0,0,0,2,1117
SIR AUTO MASTER S.R.L.,1,9,2,1,0,0,1,0,0,0,1,1,0,0,495
MatCars Mateusz Pyrka,1,8,2,1,1,0,2,0,0,1,1,2,0,0,284.5
"Fair Cars, Inh. Özay Kocak",6,1,6,26,2,0,28,0,2,26,0,28,0,0,408.4285714
Autohaus Schmack GmbH,4,7,9,11,2,0,0,13,13,0,0,0,1,12,1135.538462
"Fahrzeugzentrum Adelshausen, Inh. David Hallbauer",1,10,4,0,1,0,0,1,1,0,0,0,0,1,362
Mekenkamp Auto's B.V.,3,2,9,0,7,0,0,7,6,1,0,0,0,7,1758.285714
"S.L Automobile, Inh. Sergej Lotz",2,4,4,1,2,0,3,0,0,2,1,2,1,0,-311
AUTOBEDRIJF LOUWES B.V.,1,3,4,2,0,0,1,1,2,0,0,1,1,0,615.5
"Autohandel-Schuman, Inh. Ali Schuman",1,1,2,2,0,0,2,0,0,2,0,2,0,0,481
"si-cars by I.Nawaz, Inh. Isabel Nawaz",1,6,6,0,1,0,0,1,0,1,0,0,0,1,1631
KAJ STARŻYK,7,1,9,28,15,1,43,1,0,9,35,38,5,1,454
DIOGO & MARÇAL LDA,3,9,7,0,5,0,2,3,0,4,1,0,1,4,810.8
Petr Hynšt,1,5,5,1,1,0,1,1,1,0,1,1,0,1,-180.5
CALO' AUTO S.R.L.,3,8,8,5,0,0,0,5,5,0,0,0,2,3,1358.8
NOVAMAX IBERICA SLU,1,8,3,1,1,0,2,0,0,2,0,1,1,0,734
"Automobile Temirci, Inh. Tunahan Temirci",1,9,2,1,0,0,1,0,0,1,0,1,0,0,1252
MGReventon Michał Grochowina,1,9,3,0,2,0,2,0,0,0,2,2,0,0,275.5
COCOMAR AUTO SRL,3,7,5,4,1,0,5,0,0,2,3,2,3,0,430.6
Lővér Auto Kft.,2,10,4,4,0,0,4,0,0,4,0,4,0,0,277
Terlouw,1,8,6,0,1,0,0,1,1,0,0,0,0,1,-1996
Vanalderwerelt corentin,1,6,2,0,1,0,1,0,0,1,0,1,0,0,651
K Auto Retail Oy,9,9,12,57,73,32,0,162,160,2,0,0,0,162,1767.555556
OMNIA SERVICE S.R.L.,1,10,4,1,0,0,0,1,0,1,0,0,0,1,1154
Sportwagen Mengesdorf GmbH,5,4,11,4,8,7,15,4,15,4,0,1,1,17,1491.210526
"Auto D-B Gjoci, Inh. Gjevdet Gjoci",4,6,5,7,3,0,10,0,0,7,3,9,1,0,219.2
"AUTO-KOMIS, SKUP-SPRZEDAŻ, ZAMIANA, POŚREDNICTWO BIERNAT MARCIN",1,7,3,1,0,0,1,0,0,1,0,0,1,0,327
WMW Dealer Auto SRL,7,6,10,15,17,4,32,4,6,20,10,7,23,6,621.75
D.G. CAR DI D'ANCA GIOVANNI,1,9,3,0,1,0,1,0,0,1,0,0,1,0,857
GK-KER Kereskedelmi és Szolgáltató Betéti Társaság,1,3,5,0,1,1,2,0,1,1,0,0,0,2,1707
DEKÁR Kft.,5,7,7,18,0,0,18,0,1,17,0,18,0,0,530.1666667
Firma Wielobranżowa Wiesława Woźniak,1,9,2,1,0,0,1,0,0,1,0,1,0,0,832
"Autozentrum Malching, Inh. Dawid Grzeskowiak",1,7,2,1,0,0,1,0,0,1,0,1,0,0,-62
Michal Pechman,7,1,11,31,9,2,24,18,2,40,0,0,16,26,932.5
AYTOKINITA TSAGARAS O E || AUTO TSAGARAS O E,6,10,9,23,0,0,3,20,15,8,0,1,12,10,947.8695652
Edison Çela,1,10,1,1,0,0,1,0,0,0,1,1,0,0,365
FORZINA ENRICO,1,7,6,1,1,0,0,2,2,0,0,0,0,2,982.5
Autohaus Keyssler GmbH & Co. KG,1,7,5,2,0,0,0,2,2,0,0,0,0,2,1059
EasyCarTrade GmbH,4,9,10,1,4,7,4,8,12,0,0,0,0,12,2234.75
V.O.F. Autobedrijf Struijk,1,3,4,0,1,0,0,1,1,0,0,0,0,1,771
SARL SAGA,1,8,2,0,1,0,1,0,0,0,1,1,0,0,639
AZ Transporte e.K,2,4,5,1,0,2,2,1,0,2,1,0,2,1,564.6666667
F.H.U. SYLWIA PODSIADŁO,2,6,4,3,0,0,2,1,0,1,2,2,1,0,156
LBS AUTOS,7,2,9,34,3,2,39,0,34,5,0,29,6,4,605.8461538
RRTV - IMPORT AND EXPORT LDA,4,9,8,6,6,0,11,1,1,11,0,2,8,2,745.9166667
HORVAT AUTOMOBILI D.O.O.,4,7,9,10,0,0,0,10,6,4,0,0,3,7,554.2
FONDEMAR UNITED SL,1,9,6,0,1,1,1,1,1,1,0,0,1,1,1211.5
AUTOMARKET DI/DES MUTSCHLECHNER ANTON,3,8,9,3,2,0,0,5,5,0,0,0,0,5,476.2
JGJ Góra Jan Góra,1,9,2,1,0,0,1,0,0,1,0,1,0,0,831
VIP-CARS Piotr Kobos,1,10,4,1,1,0,2,0,0,2,0,0,2,0,261.5
V8 AUTÓ KERESKEDELMI KFT,1,10,3,1,0,0,1,0,0,1,0,0,1,0,690
JIL CARS OOD,2,6,5,2,2,0,4,0,0,4,0,0,4,0,562.5
Deede Trans oü,1,10,3,0,1,0,1,0,0,1,0,0,1,0,262
Marcin Szymczyk MMCARS,1,2,2,1,0,0,1,0,1,0,0,1,0,0,430
GRZEGORZ PARULSKI,1,9,3,1,0,0,0,1,0,1,0,0,1,0,803
Armen Parvanyan,1,9,2,0,1,0,1,0,0,1,0,1,0,0,495
DOMANTAS KURAS,1,8,3,1,1,0,2,0,0,0,2,1,1,0,364
SZAFRAŃSKA-JĘDRUSIK AGNIESZKA FHU Oscar,4,6,5,12,0,0,12,0,0,8,4,12,0,0,412.4166667
#NAME?,1,10,4,0,1,0,1,0,1,0,0,0,0,1,1213
CENTRE AUTO BLOTZHEIM,3,4,6,5,2,0,7,0,2,5,0,4,3,0,353
My Leasing / My Tuning Factory e.K,2,7,4,0,1,2,3,0,2,1,0,1,2,0,857.3333333
R2AD SMART BUSINESS S.R.L.,1,8,2,2,0,0,2,0,0,0,2,2,0,0,106.5
Jan Erjavec s.p.,3,5,9,1,5,2,0,8,2,6,0,0,0,8,1639.875
Van Dijk Mobility B.V,3,9,9,4,1,0,0,5,5,0,0,0,0,5,144.4
"Anastasiou Cars, Inh. Angelos Anastasiou",7,4,10,31,8,0,34,5,39,0,0,0,29,10,879.1538462
Auto Römhild & Schewe GmbH,3,6,9,8,1,0,1,8,9,0,0,0,0,9,1110.111111
FILINTO MOTA SUCESSORES S.A.,1,10,3,1,0,0,0,1,1,0,0,0,1,0,399
"F&P Auto Becker, Inh. Isidor Jasari",6,5,10,6,11,4,16,5,5,15,1,1,4,16,1403.095238
Immo Mobil Kft.,2,9,2,3,0,0,3,0,0,3,0,3,0,0,174.6666667
MSG DI SCELZA MARCO,2,8,6,0,1,2,3,0,0,2,1,0,1,2,630.6666667
SASU GARAGE DU CARREAU,2,6,5,2,1,0,2,1,1,2,0,1,1,1,1077
KBS Pardubice s.r.o.,1,10,2,0,1,0,1,0,0,0,1,1,0,0,608
LB AUTOS 33,3,3,3,5,0,0,5,0,4,1,0,5,0,0,520.8
